Country Name,Year,Education (Tertiary),GDP,Inflation,Life Expectancy,Population,Unemployment
Syrian Arab Republic,1960,,857704413.407821,5.11890951276099,52.723,4673500.0,
Syrian Arab Republic,1961,,945244972.067039,1.95889088150075,53.652,4815466.0,
Syrian Arab Republic,1962,,1110565880.75881,-3.8461538461533,54.569,4959340.0,
Syrian Arab Republic,1963,,1200447408.37696,1.91666666666659,55.394,5110467.0,
Syrian Arab Republic,1964,,1339494267.01571,5.39656582175021,56.17,5269087.0,
Syrian Arab Republic,1965,,1472036540.13329,-3.87897595034945,56.901,5435267.0,
Syrian Arab Republic,1966,,1342287553.19149,3.79338175948378,57.55,5609047.0,
Syrian Arab Republic,1967,,1580229799.42693,6.45412130637526,58.045,5790198.0,
Syrian Arab Republic,1968,,1753746429.62092,2.84879474068662,59.118,5978742.0,
Syrian Arab Republic,1969,,2245011514.55676,-1.98863636363599,59.844,6175166.0,
Syrian Arab Republic,1970,,2140384010.0724,4.63768115941983,60.608,6380609.0,
Syrian Arab Republic,1971,81.4722366333008,2589851325.14544,5.6094182825485,61.334,6598094.0,
Syrian Arab Republic,1972,85.4716567993164,3059681697.61273,2.09836065573833,61.969,6826024.0,
Syrian Arab Republic,1973,90.2992324829102,3239487516.42576,20.3596660244059,60.826,7060321.0,
Syrian Arab Republic,1974,91.3535003662109,5159557147.50895,15.5282817502668,63.441,7302160.0,
Syrian Arab Republic,1975,91.6635284423828,6826980444.14982,11.4649681528663,64.187,7554364.0,
Syrian Arab Republic,1976,92.413688659668,7633528866.93424,11.4285714285715,64.844,7817320.0,
Syrian Arab Republic,1977,91.5238265991211,7696011396.0114,11.9658119658116,65.398,8090501.0,
Syrian Arab Republic,1978,90.6214981079102,9275200458.19015,4.80916030534371,65.932,8372759.0,
Syrian Arab Republic,1979,90.4398880004883,9929681528.66242,4.55207574654038,66.244,8661909.0,
Syrian Arab Republic,1980,91.7779998779297,13062420382.1656,19.2964123998608,66.545,8957663.0,
Syrian Arab Republic,1981,93.0386734008789,15518201335.3151,18.3941605839417,64.598,9260189.0,
Syrian Arab Republic,1982,95.0187225341797,16298929011.4681,14.3033292231811,60.839,9572511.0,
Syrian Arab Republic,1983,96.1524429321289,17589277143.1314,6.1272923408846,67.35,9904809.0,
Syrian Arab Republic,1984,98.7160415649414,17503078174.0039,9.22951819475496,67.723,10258398.0,
Syrian Arab Republic,1985,100.716491699219,16403539892.7783,17.2529313232832,68.048,10625672.0,
Syrian Arab Republic,1986,102.810409545898,13293205278.2803,36.0634920634916,68.415,11002844.0,
Syrian Arab Republic,1987,105.968902587891,11356215543.3043,59.4843677088198,68.797,11388923.0,
Syrian Arab Republic,1988,105.830627441406,10577041644.9944,34.562211981567,69.172,11782264.0,
Syrian Arab Republic,1989,107.099082946777,9853395761.63227,11.3992172211349,69.486,12179060.0,
Syrian Arab Republic,1990,106.858238220215,12308624417.8268,19.3968672229543,69.83,12579208.0,
Syrian Arab Republic,1991,108.440269470215,12981833333.3333,9.00000000000003,70.075,12980821.0,6.75
Syrian Arab Republic,1992,109.568580627441,13253565861.1424,11.0091743119265,70.243,13385571.0,6.949
Syrian Arab Republic,1993,108.397087097168,13695962055.4771,13.2231404958679,70.309,13795686.0,7.4
Syrian Arab Republic,1994,108.012161254883,10122020000.0,15.3284671532846,70.296,14208583.0,7.5
Syrian Arab Republic,1995,106.959327697754,11396706586.8263,7.97995780590686,70.209,14616801.0,7.2
Syrian Arab Republic,1996,106.248268127441,13789560878.2435,8.2498900991551,70.156,15018104.0,7.222
Syrian Arab Republic,1997,105.771621704102,14505233463.035,1.88611136179086,70.158,15417542.0,7.31
Syrian Arab Republic,1998,105.351707458496,15200846153.8462,-0.797165633303916,70.237,15820413.0,7.376
Syrian Arab Republic,1999,106.583160400391,15873875968.9922,-3.70370370370365,70.507,16228061.0,7.6
Syrian Arab Republic,2000,107.368507385254,18937052543.4373,-3.84615384615379,70.856,16637888.0,9.587
Syrian Arab Republic,2001,108.697280883789,20237024724.7039,2.99999999999995,71.296,17051338.0,11.63
Syrian Arab Republic,2002,110.06120300293,20669357462.3831,-0.130505282417402,71.742,17468332.0,10.94
Syrian Arab Republic,2003,118.255401611328,21828144686.0394,5.79682944905841,72.188,17889296.0,10.28
Syrian Arab Republic,2004,119.067451477051,25086950495.0495,4.43314136719839,72.494,18336875.0,9.513
Syrian Arab Republic,2005,120.904052734375,28858965517.2414,7.24034939348535,72.797,18814091.0,8.809
Syrian Arab Republic,2006,120.943916320801,33751788856.305,10.0241105377571,73.04,19637022.0,8.17
Syrian Arab Republic,2007,120.168663024902,40465318382.0585,3.90770950443607,73.256,20884125.0,8.42
Syrian Arab Republic,2008,118.987716674805,52557913568.9549,15.7453252219709,73.368,21636564.0,10.94
Syrian Arab Republic,2009,117.862602233887,54111735628.7065,2.92089711805367,73.496,21976969.0,8.14
Syrian Arab Republic,2010,117.089660644531,61390830874.7007,4.3974138315007,73.542,22482421.0,8.61
Syrian Arab Republic,2011,117.537750244141,67539428159.4474,4.7531638888563,72.259,22878098.0,8.627
Syrian Arab Republic,2012,116.944236755371,43190318032.5627,36.7022953364139,66.206,22759763.0,13.8
Syrian Arab Republic,2013,69.7999420166016,21361254635.051,40.0318378290723,65.146,21666917.0,14.5
Syrian Arab Republic,2014,,21502061465.9498,10.9271141804297,65.492,20273659.0,14.783
Syrian Arab Republic,2015,,16466863117.0009,38.4611429599733,63.265,19424618.0,14.243
Syrian Arab Republic,2016,,12597854877.4254,47.7051615298923,65.19,19193834.0,13.795
